id,book_name,genre_name,author_name
1,"Chuyện kể cho bé","Cổ Tích - Thần Thoại","Nhiều tác giả"
2,"Kho tàng truyện cổ tích Việt Nam","Cổ Tích - Thần Thoại","Nguyễn Đổng Chi"
3,"10 Huyền Thoại Viking Hay Nhất Mọi Thời Đại","Cổ Tích - Thần Thoại","Michael Cox"
4,"365 Chuyện Kể Hàng Đêm – Mùa Thu","Cổ Tích - Thần Thoại","Lưu Hồng Hà"
5,"108 Truyện Ngụ Ngôn Hay
 Nhất","Cổ Tích - Thần Thoại","Nhiều tác giả"
6,"truyện cổ xyri","Cổ Tích - Thần Thoại","Nguyễn Huy Thắng"
7,"Nghìn Lẻ Một Đêm","Cổ Tích - Thần Thoại","Nhiều tác giả"
8,"Truyện cổ Nhật Bản","Cổ Tích - Thần Thoại","Nhiều tác giả"
9,"Truyện cổ Andersen","Cổ Tích - Thần Thoại","Hans Christian Andersen"
10,"Tuyển tập truyện cổ tích thế giới","Cổ Tích - Thần Thoại","Nhiều tác giả"
11,"Phong thần diễn
 nghĩa","Tiểu thuyết","Nhiều tác giả"
12,"Cổ học tinh hoa","Tiểu thuyết","Nguyễn Văn Ngọc"
13,"Số đổ","Tiểu thuyết","Vũ Trọng Phụng"
14,"Hồng lâu mộng","Tiểu thuyết","Tào Tuyết Cần"
15,"Truyện ngắn Vũ Trọng Phụng","Tiểu thuyết","Vũ Trọng Phụng"
15,"Truyện ngắn Vũ Trọng Phụng","truyện ngắn","Vũ Trọng Phụng"
16,"Đoạn tuyện","Tiểu thuyết","Tự lực văn đoàn"
16,"Đoạn tuyện","truyện ngắn","Tự lực văn đoàn"
17,"Hà Nội ba sáu phố phường","truyện ngắn","Tự lực văn đoàn"
18,"Sống mòn","Tiểu thuyết","Nam Cao"
19,"Chí Phèo","Tiểu thuyết","Nam Cao"
20,"Kỹ nghệ lấy Tây","Tiểu thuyết","Vũ Trọng Phụng"
21,"Vang bóng một thời","truyện ngắn","Nguyễn Tuân"
22,"Tuyển tập Nguyễn Tuân","truyện ngắn","Nguyễn Tuân"
23,"Một chuyến đi","truyện ngắn","Nguyễn Tuân"
24,"Truyện ngắn Thạch Lam","truyện ngắn","Tự lực văn đoàn"
25,"Vỡ đê","Tiểu thuyết","Vũ Trọng Phụng"
26,"Cạm bẫy người","Tiểu thuyết","Vũ Trọng Phụng"
27,"Những Món Cơm Ngon Đặc Sắc","Ẩm thực-Nấu ăn","Tiểu Quỳnh"
28,"Món Ăn Giúp Trẻ Thông Minh Học Giỏi","Ẩm thực-Nấu ăn","Nhật Nguyên"
29,"Nghệ Thuật Pha Chế 460 Loại Rượu Cocktail","Ẩm thực-Nấu ăn","Nhiều tác giả"
30,"Dinh Dưỡng Cho Trẻ Béo Phì","Ẩm thực-Nấu ăn","Nhiều tác giả"
